IDX	S1	S2	A1	A2	A3	A1_Label	A2_Label	A3_Label
1	There is a light rain today. Precipitation reaches soil surfaces.	The roots of many plants are not moistened by rain.	The gardener's watering schedule is adjusted according to the weather forecast.	The roots of the majority of plants are very shallow.	The plants' roots are deep, beyond the reach of light rain.	NONE	FALSE	TRUE
2	Susan wants to buy a restricted pesticide. Rotenone is a restricted-use pesticide.	She bought rotenone.	Susan was granted permission to purchase restricted-use pesticides.	Rotenone's use restrictions were recently lifted.	Local farming communities rigorously review permits to purchase rotenone pesticides.	TRUE	FALSE	NONE
3	He greeted the orcas in the water. Orcas are very social animals.	The orcas spouted water to respond to him.	The man had a habit of mimicking orca sounds.	The orcas were simply expelling water as part of their breathing.	A sudden wave crashed, startling both the man and the orcas.	TRUE	FALSE	NONE
4	Tom eats a lot of eggs every day.	His hatchery can produce hundreds of millions of fertilized eggs every year.	Tom's high egg consumption fuels his hatchery's production.	Tom's egg consumption is unrelated to his hatchery's output.	Gallstones are lumps composed mainly of cholesterol.	TRUE	FALSE	NONE
5	Tom eats a lot of eggs every day. Gallstones are lumps composed mainly of cholesterol.	The cholesterol content in his body is extremely high, so he suffers from gallstones.	Tom's gallstones are a direct result of his dietary choices.	Jack's doctor pointed out his habit of eating a lot of eggs.	Tom is also taking medication to lower his cholesterol levels.	TRUE	NONE	FALSE
6	The doctor applied hallucinogens to the patient despite its unpredictable effect.	The patient fell asleep.	The patient's anxiety levels affected both the treatment and sleep pattern.	The patient was already tired before the doctor's intervention.	The administered hallucinogens led to the patient's sudden sleep.	NONE	FALSE	TRUE
7	The doctor applied hallucinogens to the patient despite its unpredictable effect. Hallucinogens are particularly dangerous.	The patient was in a dangerous state.	The doctor's decision resulted in an investigation into his medical practices.	Increased concentrations of hallucinogens in the body can cause damage to the central nervous system.	The patient suffered severe trauma and was in critical condition.	NONE	TRUE	FALSE
8	Figs are more adapt to the condition of high temperature.	The fig fruits here have a high sugar content.	The weather forecast shows a heat wave in Southeast Asia.	This region belongs to the equatorial monsoon climate.	Fig trees were exposed to 60 degrees Celsius in the laboratory.	NONE	TRUE	FALSE
9	Figs are more adapt to the condition of high temperature. Figs are mostly tropical plants naturally growing wild in south-east Asian jungles.	Figs would be sweeter.	The high humidity in the Southeast Asian jungles increases fig sweetness.	The introduction of a new pollinator species altered the figs' sugar content.	The sweetness of figs is determined by the species, not the climate.	TRUE	NONE	FALSE
10	Rays of varying wavelengths show different color. Sunshine strikes the earth in rays of varying wavelengths.	Sunshine striking the earth is composed of different colors.	The atmospheric conditions can affect the apparent color of sunlight.	The sun's rays, having varied wavelengths, result in a color spectrum.	Actually, the colors we see are due to the light's interaction with objects.	NONE	TRUE	FALSE
11	Tom has glaucoma. Coleus is used in treatments to relieve glaucoma pressure within the eye.	Doctor advised him to use coleus.	The doctor believes in the efficacy of coleus for glaucoma.	Tom's acute glaucoma required ophthalmic surgery.	Tom's overall health has been deteriorating, affecting treatment options.	TRUE	FALSE	NONE
12	Jack keeps the goats alone. Goats are herd animals so depend on the companionship of other goats.	The goat has a poor appetite.	The goat's changing behavior is alarming to Jack and his neighbors.	Goats counteract loneliness by eating.	Goats left alone often develop anorexia.	NONE	FALSE	TRUE
13	The researcher separated integral membrane proteins from the tonoplast. TIPs are integral membrane proteins in the tonoplast.	They are TIPs.	The proteins might not necessarily be TIPs despite the separation.	The extraction method used can influence the type of proteins separated.	The proteins' TIPs identity was established following their extraction, despite the presence of contaminants.	FALSE	NONE	TRUE
14	Many pupils joined the class. The size of the student changes.	They increased the size of the class.	At first, we started with a lecture on size.	The school's reputation was influenced by the fluctuating class size.	Classrooms of other sizes are fully booked.	TRUE	NONE	FALSE
15	He was badly wounded.	He died.	His physical strength and resilience were greatly affected.	Despite his wounds, he was in stable condition.	His injuries were so severe that they were fatal.	NONE	FALSE	TRUE
16	Amy sufferdfrom estrogen dysfunction. Progestins help to regulate the effects of estrogens.	Her body returned to normal thanks to the progestin.	Amy started a progestin treatment.	Amy's stress levels were also affected by her condition.	Amy was prescribed exercise as a way for her to improve her estrogen dysfunction.	TRUE	NONE	FALSE
17	Lili will choose a branch of systematics to continue her study.	She went to a college after graduation from high school.	Lili was also interested in companies dealing with systematics.	Taxonomy is one of the three branches of systematics.	The university has a systematics department.	FALSE	NONE	TRUE
18	Lili will choose a branch of systematics to continue her study. Taxonomy is one of the three branches of systematics.	She chooses taxonomy.	She must choose a department that matches her SAT score.	Lili's professor recommended she focus on taxonomy for her studies.	Lili's choice impacts the subjects she will teach in future.	FALSE	TRUE	NONE
19	It was snowing heavily.	The shingle was loosen.	The weight of the snow made the shingle joints to split open.	The shingle frame reached the end of its useful life.	The temperature dropped dramatically, influencing the snowfall and the roof's stability.	TRUE	FALSE	NONE
20	It was snowing heavily. A fireplace is a place to start a fire.	Tom lit the fireplace.	The power outage left Tom wanting a warm blanket to cover himself.	Tom prefers to turn on the heater when it's cold.	The snowfall made the house cold, leading Tom to act. 	NONE	FALSE	TRUE
21	Bananas are yello. 	Xanthophylls have the same color.	Early harvest bananas do not contain Xanthophyll.	Xanthophylls are also yellow.	The ripening process affects the color intensity in both bananas and xanthophylls.	FALSE	TRUE	NONE
22	I climbed for fun. Climbing cause exhilaration.	I felt exhilarated.	There is research on the relationship between climbing and feelings of happiness.	I reached the top of a rugged mountain.	The joy of other hikers was shared with me.	NONE	TRUE	FALSE
23	The Covalence of this atom is seven. Covalence is the number of electrons an atom needs to gain to produce a stable outer shell.	The atom needs 7 electrons to gain to produce a stable outer shell.	The atom's covalence determines its electron requirement for stability.	The atom's stability is not solely determined by covalence.	The atom's energy state is affected by its stability and covalence.	TRUE	FALSE	NONE
24	Some nonnative plants have appeared in the garden.	They are amazingly capable.	Environmental groups investigate invasive plant pests.	The gardener decides to grow them.	These plants' resilience enables their survival in foreign habitats.	NONE	FALSE	TRUE
25	Some nonnative plants have appeared in the garden. Gardeners consider invasive plants.	Gardeners get rid of them.	Some plant species devastate other plant species.	Fruits from non-native plants are highly profitable.	Local ordinances require all non-native plants to be reported.	TRUE	FALSE	NONE
26	An unknown virus has spread around the world.	Deflation occurs.	New government policies impact health and the economy related to health care.	Toxics caused market crashes, resulting in deflation.	The spread of hazardous substances had no effect on the economy.	NONE	TRUE	FALSE
27	Tom touched toxic materials by mistake. Operations involve toxic materials.	Tom needed to do operation.	Work gloves prevent skin contact with toxic substances.	Toxic substances damage the skin.	Tom fell while washing his hands and tore his skin.	NONE	TRUE	FALSE
28	Tom could't control his sphincter because of his spine problem.	Scientists and doctors from all countries are working hard to solve it.	Drugs that treat sphincter control have some reported side effects.	There is no direct cause or remedy for Tom's problems.	Some researchers and medical professionals are fake.	FALSE	TRUE	NONE
